Authority,Content-Provider,Value,Name,Extra-Name,Type
 com.zhiliaoapp.musically.SnapKitInitProvider, enabled: false, exported: false, name: com.snapchat.kit.sdk.SnapKitInitProvider},,
 com.zhiliaoapp.musically.ttplatformapi.AccountProvider, exported: true, multiprocess: true, name: com.ss.android.ttplatformsdk.provider.TTPlatformAccountProvider, readPermission: com.zhiliaoapp.musically.permission.READ_ACCOUNT, '{http://schemas.android.com/apk/res/android}writePermission': 'com.zhiliaoapp.musically.permission.WRITE_ACCOUNT'}
 com.zhiliaoapp.musically.wallpapercaller, exported: true, name: com.ss.android.ugc.aweme.livewallpaper.WallPaperDataProvider, permission: com.zhiliaoapp.musically.permission.wallpaper},,
 com.zhiliaoapp.musically.WsChannelMultiProcessSharedProvider, exported: false, name: com.bytedance.common.wschannel.WsChannelMultiProcessSharedProvider},,,
 com.zhiliaoapp.musically.fileprovider, exported: false, grantUriPermissions: true, name: androidx.core.content.FileProvider},,
 com.zhiliaoapp.musically.firebaseinitprovider, enabled: false, exported: false, initOrder: 100, name: com.google.firebase.provider.FirebaseInitProvider},
 com.zhiliaoapp.musically.push.status, name: com.ss.android.ugc.aweme.push.downgrade.PushRunningStatusProvider,,,,
 com.zhiliaoapp.musically.aweme_player, exported: false, name: com.ss.android.ugc.aweme.video.InitPlayerProvider},,,
 com.zhiliaoapp.musically.ttlive_provider, exported: false, grantUriPermissions: true, name: com.bytedance.android.livesdk.TTLiveFileProvider},,
 com.ss.android.common.multiprocess.SHARE_PROVIDER_AUTHORITY1233, exported: false, name: com.ss.android.common.util.MultiProcessSharedProvider},,,
 com.facebook.app.FacebookContentProvider597615686992125, exported: true, name: com.facebook.FacebookContentProvider},,,
 com.zhiliaoapp.musically.permissions-provider, exported: false, name: com.bytedance.ies.powerpermissions.PermissionsProvider},,,
 com.zhiliaoapp.musically.context-provider, exported: false, name: com.bytedance.ies.powerlist.ContextProvider},,,
 com.zhiliaoapp.musically.apm, exported: false, name: com.bytedance.apm.battery.dao.MonitorContentProvider},,,
 com.zhiliaoapp.musically.push.SHARE_PROVIDER_AUTHORITY, exported: false, name: com.ss.android.pushmanager.setting.PushMultiProcessSharedProvider},,,
 com.zhiliaoapp.musically.push.settings, exported: false, name: com.bytedance.push.settings.storage.PushProvider},,,
 com.zhiliaoapp.musically.workmanager-init, directBootAware: false, exported: false, multiprocess: true, name: androidx.work.impl.WorkManagerInitializer},
 com.zhiliaoapp.musically.FacebookInitProvider, exported: false, name: com.facebook.internal.FacebookInitProvider},,,
 com.zhiliaoapp.musically.VKInitProvider, exported: false, name: com.vk.api.sdk.internal.VKInitProvider},,,
 com.zhiliaoapp.musically.auth_token.SHARE_PROVIDER_AUTHORITY, exported: false, name: com.ss.android.token.AuthTokenMultiProcessSharedProvider},,,
 com.zhiliaoapp.musically.lifecycle-process, exported: false, multiprocess: true, name: androidx.lifecycle.ProcessLifecycleOwnerInitializer},,
 com.zhiliaoapp.musically.SecShareProviderAuthority, exported: true, name: com.ss.android.account.share.data.write.provider.SecShareDataProvider},,,
 com.zhiliaoapp.musically.AccountProvider, exported: false, name: com.bytedance.ies.common.push.account.AccountProvider, process: :push},,
